"","p_val","odds","extreme_WT","extreme_MU","rest_WT","rest_MU","gene","extreme","p_adj","p_adj_star"
"493",0.00110710870403759,4.32221496388001,3495,58,1042,4,"STAG2","1",0.00544814020144815,"**"
"495",0.00114944228497449,Inf,3524,29,1046,0,"STAT5B","1",0.00555894070578181,"**"
"497",0.00010696262924678,Inf,3515,38,1046,0,"STIL","1",0.000857229071534911,"***"
"498",0.00107712071932142,Inf,3525,28,1046,0,"STK11","1",0.00539522074588678,"**"
"499",0.00453845503792784,Inf,3531,22,1046,0,"STRN","1",0.0167558334896659,"*"
"507",0.00490946574962865,3.7176010533334,3503,50,1042,4,"TBX3","1",0.0168535859385211,"*"
"513",0.0187040946158125,Inf,3536,17,1046,0,"TERT","1",0.0462246567377569,"*"
"515",0.00276147985056831,6.09262474718746,3512,41,1044,2,"TET2","1",0.010682603212278,"*"
"519",0.000140334724785439,13.401631898938,3508,45,1045,1,"TGFBR2","1",0.00110884198034692,"**"
"524",0.00739833354933704,8.59754404869479,3524,29,1045,1,"TNFAIP3","1",0.0231869559842351,"*"
"528",8.01174955483731e-70,6.42307586727005,2444,1109,977,69,"TP53","1",2.24729575013187e-67,"****"
"529",0.00082359472672966,6.99611610851974,3506,47,1044,2,"TP63","1",0.00435883624240886,"**"
"532",1.5709830375602e-05,Inf,3508,45,1046,0,"TPR","1",0.000166287072466277,"***"
"534",0.0136218844406893,4.89276121533528,3520,33,1044,2,"TRIM24","1",0.036739794092436,"*"
"535",0.00279918479893916,Inf,3529,24,1046,0,"TRIM27","1",0.010682603212278,"*"
"537",0.0141823260255777,2.97131687017764,3503,50,1041,5,"TRIP11","1",0.0379070055859254,"*"
"538",1.31576368921534e-09,9.10349913986543,3433,120,1042,4,"TRRAP","1",6.15119524708171e-08,"****"
"541",0.00128059885630437,10.6939545759687,3517,36,1045,1,"TSHR","1",0.00593732197013842,"**"
"542",7.83021408326375e-08,5.90092739788572,3436,117,1040,6,"UBR5","1",2.19637505035548e-06,"****"
"543",0.000650177330487182,5.36440675489561,3499,54,1043,3,"USP6","1",0.00354125711071174,"**"
"544",0.000221908933014694,13.1000930802938,3509,44,1045,1,"USP8","1",0.00146686054592454,"**"
"545",5.9335028213533e-27,0.0234540963999161,3549,4,998,48,"VHL","1",8.321737706948e-25,"****"
"548",0.00987568200659552,3.95791633420018,3513,40,1043,3,"WRN","1",0.0302746317251371,"*"
"549",0.0143924994470626,3.75790346866869,3515,38,1043,3,"WT1","1",0.0379070055859254,"*"
"553",0.00478789611798052,8.89652121802501,3523,30,1045,1,"XPO1","1",0.0167875607636692,"*"
"556",0.00121871656211369,3.02657527342708,3472,81,1038,8,"ZFHX3","1",0.00579406772326931,"**"
"557",0.0206332403147815,3.11574014695438,3511,42,1042,4,"ZMYM2","1",0.0492563736876272,"*"
"560",2.7982425659829e-06,3.95745014201108,3435,118,1037,9,"ZNF521","1",4.02516430645233e-05,"****"
